Time (UTCG),q1,q2,q3,q4
56:00.0,0.331647,0.487848,-0.191535,-0.784429
57:00.0,0.325257,0.513098,-0.202198,-0.76815
58:00.0,0.318524,0.537805,-0.212648,-0.751059
59:00.0,0.311455,0.561943,-0.222875,-0.733173
00:00.0,0.304059,0.585487,-0.232867,-0.714512
01:00.0,0.296341,0.608411,-0.242613,-0.695095
02:00.0,0.288312,0.630692,-0.252104,-0.674943
03:00.0,0.279978,0.652306,-0.261329,-0.654077
04:00.0,0.27135,0.673229,-0.270279,-0.632519
05:00.0,0.262436,0.693441,-0.278944,-0.610292
06:00.0,0.253245,0.71292,-0.287315,-0.58742
07:00.0,0.243787,0.731644,-0.295384,-0.563927
08:00.0,0.234073,0.749594,-0.303141,-0.539837
09:00.0,0.224111,0.766752,-0.310579,-0.515176
10:00.0,0.213914,0.783098,-0.31769,-0.48997
11:00.0,0.203491,0.798616,-0.324467,-0.464246
12:00.0,0.192853,0.81329,-0.330901,-0.438032
13:00.0,0.182013,0.827103,-0.336987,-0.411353
14:00.0,0.17098,0.840042,-0.342717,-0.38424
